00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 24:00
3421,2858,2237,1900,1579,1146,793,604,660,856,1364,2985,4807,7265,10148,15861,19715,23564,17805,15515,14171,15380,16033,18938,19901,21586,20673,21121,21514,22787,24297,26205,26709,29256,33218,30278,27570,23504,19705,16469,13203,11027,10013,9243,8264,6501,5606,4345
4206,3141,2549,1953,1511,1052,850,620,673,826,1350,3176,5270,8056,11499,18151,23581,27721,20019,17214,14983,16877,16759,20657,21523,22872,22619,23553,23502,24994,27408,29904,30818,34546,41545,39125,34317,28761,23413,19926,16100,14123,12691,11456,10455,8646,7477,5633
5989,4470,3508,2524,1898,1508,1165,834,886,1169,1773,4013,6799,11385,15618,24018,31191,37788,28319,25162,22854,25293,26720,31199,33356,35689,35832,35827,36655,38636,41718,45748,47210,51935,63361,62432,57405,49422,40275,32420,25507,21271,19051,16997,15170,12556,10360,7875
8296,6040,4620,3573,2848,2111,1464,1180,1109,1598,2256,4821,7893,13323,17615,27776,35548,43088,33608,31500,29934,33091,34172,39247,41773,43675,44405,44493,44812,46072,48482,51611,52935,58413,72575,73220,68440,60702,52214,42644,34291,28265,25639,22952,20463,16898,13956,11065
10293,7456,5624,4416,3424,2488,1967,1533,1290,1906,2832,6178,10201,15860,22416,34000,43626,51511,39952,37107,35412,38046,39742,46215,48978,50615,50849,51744,52035,54280,57776,61277,62947,68632,82718,84820,81024,72328,63539,54317,45951,37432,31854,28777,25362,20945,18200,13641
13445,9792,7795,6142,5003,3704,2646,1964,1585,2213,3518,7382,12206,18433,25597,37716,49016,56185,44538,42167,39854,42659,44906,50886,52129,54412,54241,54845,55084,57758,59690,62754,65071,72286,88882,92351,88913,81767,72488,64870,58820,49348,42286,37483,32536,26697,22856,17191
14558,10983,8589,6914,5644,4282,3148,2364,1982,2575,4038,8260,12923,20320,27558,40028,51780,60117,49684,46970,44626,47592,48994,54724,55641,57303,57094,56550,56850,58873,60700,62618,66496,72814,89488,90787,88845,81794,75322,68295,62844,52667,44260,42637,36690,29553,24391,19156
13044,10092,7978,6173,5074,3712,2815,2186,1953,2553,4010,8148,13135,20295,28985,43151,53461,61808,50079,46452,44248,47120,48394,54353,56880,58188,57257,57028,56755,59324,63392,67457,70323,75763,93141,95052,92413,83923,75501,67081,57586,46068,40402,35754,31736,26197,22146,17364
8565,6652,5235,4234,3372,2559,1721,1379,1176,1683,2597,5062,8478,13446,20049,30560,37442,43443,34162,32023,30067,33109,34163,39026,41270,42845,42140,41880,41957,42981,45611,48276,50775,56457,68440,69103,66884,60597,53092,44386,35592,28543,26004,22996,20554,17963,15219,11503
8857,7197,5650,4663,3839,2885,2060,1382,1189,1583,2356,4735,7626,12291,17945,28665,36222,43303,34446,31096,30185,32920,33935,39364,41536,43665,43816,44348,43860,45548,48180,51300,53216,59229,71999,71454,67309,57166,45581,37762,30438,25606,23500,21183,19347,16693,14079,11316
5944,4472,3691,3006,2162,1569,1140,980,877,1255,1764,3883,6155,10254,15172,23721,28884,35014,26880,24893,23266,25292,26338,30965,33027,34886,34953,36155,36401,37633,40133,42304,43699,46202,50945,45874,41515,35879,29903,25313,21080,18011,16479,15168,13731,11464,9723,7755
4605,3607,2890,2384,1819,1349,948,761,770,976,1317,2885,4621,7189,10340,16240,19718,24149,19138,17837,16545,18307,19255,23163,24329,26204,26406,27105,27619,28176,29866,31131,31828,32400,34469,31421,28857,25751,21540,17856,14995,12831,11490,10960,10043,8864,7859,6138
